DESIGNATION	REFERENCE	QUANTITE	PRIX UNITAIRE
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	20.00	320.0000
DILUANT CELLULOSIQUE 4,5 LTS SODECSO	4,5 LTS	2.00	89.0000
PEINTURE VERTE 5KG	5KG	2.00	165.0000
PEINTURE GRISE ARLAC-5KG	ARLAC-5KG	2.00	165.0000
FER A U D80	D80	6.00	450.0000
ROULEMENT 6005	6005	2.00	31.0000
ROULEMENT 205-UC	205-UC	2.00	20.8400
ROULEMENT 6002	6002	10.00	21.6700
GANT CUIR M/C	M/C	80.00	12.5000
RACLEUR DRSU 20X28X4/8	20X28X4/8	2.00	35.0000
JOINT PNEUMATIQUE 20X30X10,4	20X30X10,4	5.00	80.0000
CHAINE SIMPLE(metres) 08B1-PAS 1/2	08B1-PAS 1/2	10.00	48.0000
PHARE PHA 504	PHA 504	1.00	85.0000
REDUCTEUR A VIS SANS FIN NMRV63 E=19 S=25 1/15	NMRV63 E=19 S=25  1/15	1.00	1200.0000
PALIER UCFC 209	UCFC 209	8.00	103.0000
REDUCTEUR A VIS SANS FIN NMRV63 E=19 S=25 1/40	NMRV63 E=19 S=25 1/40	2.00	1200.0000
DILUANT CELLULOSIQUE 4,5 LTS SODECSO	4,5 LTS	2.00	89.0000
HUILE DEGRIPANT CEYS-400ML	CEYS-400ML	2.00	35.0000
COMMUTATEUR 3 POSITION RAPPEL XB4-BD53	XB4-BD53	5.00	100.0000
VIS TF INOX 6X16	6X16	30.00	0.8400
ROULEMENT 209-UC	209-UC	4.00	60.0000
JEU CLE MALE SIX-PANS 1,5-10	1,5-10	1.00	175.0000
ARRET HUILE 30X40X7	30X40X7	3.00	7.5000
ARRET HUILE 30X44X10	30X44X10	2.00	8.0000
DISQUE A TRONCONNER 125X1,6X22,23	125X1,6X22,23	25.00	16.6700
AGRAFE 10MM-10370	10370	20.00	65.4500
COURROIE THERMO-SOUDABLE-SICC100% PU "B"VERTE NID D'ABEILLE TRANSPARENTE SPECIALE AVEC RENFORCEMENT 77379	77379	60.00	100.1000
POULIE FOLLE 1B 170 D.30+COUSSINET+BAGUE 10241	1B 170 D.30 10241	6.00	115.5000
POULIE FOLLE 1B 170 D.35+COUSSINET+BAGUE 10242	1B 170 D.35 10242	6.00	115.5000
POULIE 1B-250-FIXE D.35 AVEC CUBE 27217	27217	24.00	101.2000
SCOTCH TRANSPARENT 50mmX100M	50mmX100M	1368.00	9.8000
POULIE 1B-250 COUSSINET-D.35 10251	1B-250 COUSSINET-D.35 10251	10.00	150.7000
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	20.00	320.0000
CHAPES A PICOTS PP 16M/M	PP 16M/M	2500.00	0.1200
COURROIE PU OUVERTE 13000 H75 AVEC NID ABEILLE 2500X10(4000-2500-6500)-108815	108815	2.00	1100.0000
ROULEMENT 6308	6308	2.00	220.0000
ROULEMENT 6206	6206	6.00	75.0000
CONDENSATEUR 50µF-450V	50µF-450V	1.00	50.0000
CLOU-POINTE 18X80	18X80	5.00	18.0000
MOTO-REDUCTEUR 0,18KW T63 1500TR 2/3V B5 MB02 IEC63 B5	0,18KW T63	2.00	1900.0000
ROULEMENT 6900	6900	1.00	20.0000
MOTEUR ELECTRIQUE 0,75KW-T80-1500TR 2/3V B3/B5	0,75KW-T80-1500TR 2/3V B3/B5	2.00	900.0000
FICHE MALE 3P+T-16A-220/380V	3P+T-16A-220/380V	5.00	26.0000
MOTO-REDUCTEUR 0,37KW T71 1500TR 2/3V B3 MB04 IEC71 B5-FLASQUE TYPE 71 B5	0,37KW T71	2.00	2100.0000
COURROIE B-54	B-54	3.00	76.0000
ROULEMENT 6901	6901	1.00	85.0000
VIS ST 6X20	6X20	30.00	1.5000
BOUTON DEMARRAGE 6316	6316	1.00	60.0000
TOLE NOIR 60/10(2X1)	60/10(2X1)	1.00	1300.0000
TOLE NOIR 50/10(2x1)	50/10(2x1)	1.00	1000.0000
MOTEUR ELECT FREIN 0,18KW T63 1500TR AC B5	0,18KW T63 1500TR AC B5	1.00	1900.0000
INTERRUPTEUR 6514	6514	1.00	90.0000
COSSE TERMINALE EMBOUT 1,5	EMBOUT 1,5	200.00	0.1600
COURROIE C-112	C-112	4.00	240.0000
HUILE MEGA-40  5LT	MEGA-40  5LT	5.00	178.0000
TUBE ROND 25X1,5	25X1,5	24.00	78.0000
HUILE SPINDLE-10W	SPINDLE-10W	20.00	35.4000
FER ROND D 16	D 16	1.00	95.0000
FER PLAT 16X4X6000mm	16X4X6000mm	1.00	30.0000
TUBE ROND 40X2	40X2	12.00	170.0000
CHAUSSURE SECURITE 42	42	3.00	210.0000
HUILE VP SAE-90	VP SAE-90	20.00	33.0000
PAQUET ELECTRODE 3,15X200-2000	3,15X200-2000	1.00	115.0000
HUILE VP SAE-90 5LT	VP SAE-90 5LT	4.00	180.0000
DEVIDOIR MANUEL ATYT	ATYT	10.00	80.0000
VIS TC 10X35	10X35	40.00	3.0000
LAME DE SCIE T144D	T144D	10.00	7.0000
COURROIE DENTEE 725H150	725H150	4.00	350.0000
COURROIE THERMO-SOUDABLE GRIFLEX B17 ARME	B17	30.00	85.0000
GUIDE METALIQUE GALVANISE B/C 1,5 MM(long 3000mm)	1,5 MM 3000mm	30.00	19.0000
GANT PLASTIC	EP:0,38 MM- LARG 30CM	10.00	13.0000
COMBINE CERCLAGE 16MM	16MM	1.00	1840.0000
DISJONCTEUR MAGNETO-THERMIQUE GV3P40 30-40A	GV3P40 30-40A	1.00	1600.0000
BOUGIE PRECHAUFFAGE DS034	DS034	4.00	45.0000
CAPTEUR PHOTOELECTRIQUE E3S-AT36,BARRAGE,7M,C.C.,3 FILS,PNP, HORIZONTAL,ENFICHABLE M12	E3S-AT36	2.00	2807.0000
BOITE LIQUIDE DOT 4	DOT 4	4.00	30.0000
BOULON TH 12X80	12X80	20.00	3.5000
PNEU 28X9-15/7 SOLIDEAL	28X9-15/7	2.00	3100.0000
COURROIE B-83	B-83	3.00	125.0000
MESURE CENTIGRAFFE 5MTS-19mm	5MTS-19mm	2.00	50.0000
BOULON TH 12X40	12X40	10.00	1.8000
BOULON TH 10X50	10X50	10.00	2.1000
BOULON TH 10X40	10X40	20.00	1.2500
GANT CUIR M/C	M/C	80.00	10.0000
BALAI CANTONNIER 400MM-PVC FIBRE	400MM-PVC FIBRE	2.00	45.0000
MANCHE BALAI CANTONNIER 1,20 MTS	1,20 MTS	2.00	23.0000
CHIFFON HYGIENNIQUE 1er CHOIX	1er CHOIX	20.00	8.5000
TIGE DE TOITURE COMPLET 7X300	7X300	100.00	3.0000
VIS TF 8X45	8X45	20.00	1.8000
FLEXIBLE COMPLET R4 1"1/4	R4 1"1/4	1.00	1900.0000
HUILE MEGA-40  5LT	MEGA-40  5LT	5.00	178.0000
CONTACTEUR LC1 D65-110V	LC1 D65-110V	1.00	1200.0000
HUILE 15W-40 5L	15W-40	4.00	210.0000
BOULON TH 10X20	10X20	50.00	1.3000
CATAPHAT 13003000000	13003000000	3.00	12.0000
BLOC ADDITIF LA DN 11-SCHNEIDER ELECTRIC	LA DN 11-SCHNEIDER ELECTRIC	5.00	45.0000
CAMPING GAZ	GAZ	1.00	18.0000
CABLE CUIVRE NU 27MM²	NU 27MM²	2.70	160.0000
LAMPE SOUDEUSE OXE	OXY	1.00	205.0000
AXE 30X210 TOURNE/D25 et D90  CLV=8X82 et CLV=8X47 A FILETAGE 10	30X210	2.00	260.0000
POULIE TOURNE 30X40 et ALESEE/D19 CLV=6	30X40	2.00	120.0000
SOCLE PYF-14- ESN	PYF-14- ESN	10.00	35.0000
BLOC ADDITIF LA DN 22-SCHNEIDER ELECTRIC	LA DN 22-SCHNEIDER ELECTRIC	3.00	100.0000
AXE 18X245 TOURNE/ D10 et D12 CLV=6X92 et PLATINE 20X50X9 PLUS CARRE SOUDE	18X245	2.00	220.0000
AXE 25X223 TOURNE/ D19 et D18  CLV=6X67 et 6X37	25X223	2.00	200.0000
VIS TC 10X45	10X45	30.00	3.0000
RONDELLE PLATE D12	D12	40.00	0.4000
ROULEMENT 6004	6004	8.00	34.0000
FILTRE A HUILE 28223	28223	1.00	40.0000
FER CARRE 25X25	25X25	1.00	450.0000
FILTRE A GASOIL 24542	24542	2.00	95.0000
FER PLAT 50X5X6000mm	50X5X6000mm	2.00	150.0000
TUBE CARRE 50X50X2	50X50X2	2.00	230.0000
FILTRE A GASOIL 24001	24001	1.00	40.0000
COLLIER COLSONG 4,8X370	4,8X370	100.00	0.5000
BALANCE DIGITALE 40KG	40KG	1.00	300.0000
FLEXIBLE COMPLET R2 1/2	R2 1/2	1.00	160.0000
VIS TF 8X25	8X25	30.00	1.5000
SILICONNE REINZOSIL +300°c-70ml	+300°c-70ml	2.00	50.0000
VIS TC INOX 5X16	5X16	50.00	1.0000
SUPPLEMENT RASQUETTE 141419	141419	3.00	1448.4800
BLOC TEMPORISE LA DT2 0,1-30S	LA DT2 0,1-30S	1.00	280.0000
ETOILE 140919	140919	1.00	103348.0800
COLLIER COLSONG 4,8X200	4,8X200	100.00	0.2500
TEFLON 12mtX12mmX0,08mm	12mtX12mmX0,08mm	10.00	2.5000
SUPPORT RACLOIR 141519	141519	3.00	2710.0700
COLLIER COLSONG 7,6X200	7,6X200	100.00	0.3500
FIL ATTACHE GP NOIR 8	GP NOIR 8	2.00	16.0000
COLLIER COLSONG 2,5X150	2,5X150	100.00	0.2000
SCOTCH ISOLANT 19mmX0,13mmX20m	19mmX0,13mmX20m	10.00	6.0000
SPRAY NETTOYANT ELECTRIQUE ORAPI 307ml/400g-508-A90H	307ml/400g-508-A90H	2.00	416.6700
BOULON TH 8X50	8X50	50.00	1.2000
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME32 24-32A	GV2 ME32 24-32A	1.00	1300.0000
PAQUET ELECTRODE 3,15X200-2000	3,15X200-2000	1.00	97.1600
COLLIER COLSONG 2,5X200	2,5X200	100.00	0.2500
VIS TF 16X50	16X50	28.00	6.5000
AMORTISSEUR-PENDULE 139719	139719	6.00	4433.2200
CONTACTEUR LC1 D95-110V	LC1 D95-110V	1.00	1950.0000
COLLIER COLSONG 4,8X380	4,8X380	100.00	0.6000
CONTACTEUR LC1 D32-110V	LC1 D32-110V	2.00	650.0000
BOULON TH 10X40	10X40	100.00	1.8000
COSSE ISOLE ROND 6mm²	6mm²	100.00	0.7000
TEMPORISATEUR RE17RMMW 0.1-100H	RE17RMMW 0.1-100H	1.00	420.0000
CLE A PIPE 36	36	1.00	400.0000
RONDELLE PLATE 10X30	10X30	100.00	0.4000
TUBE PVC D16	D16	3.00	8.5000
JEU TOURNEVIS KRINO	65026015	1.00	210.0000
GANT CUIR M/C	M/C	80.00	12.5000
TUBE RECTANGULAIRE 50X30X2	50X30X2	3.00	150.0000
FER PLAT 20X4X6000mm	20X4X6000mm	3.00	40.0000
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME06 1 -1,6A	GV2 ME06 1 -1,6A	1.00	475.0000
CORNIERE 70X70X7	70X70X7	12.00	550.0000
CONTACTEUR LC1 D09-220V	LC1 D09-220V	1.00	245.0000
ARRET HUILE 40X68X10	40X68X10	5.00	23.0000
COURROIE DENTEE 725H150	725H150	5.00	350.0000
DISJONCTEUR MAGNETO-THERMIQUE GV3 P65 48 -65A	GV3 P65 48 -65A	1.00	1700.0000
CUTEUR IRWIN 18MM	18MM	1.00	60.0000
ARRET HUILE 25X42X7	25X42X7	5.00	15.0000
ARRET HUILE 35X62X7	35X62X7	5.00	21.0000
HUILE SPINDLE-10W	SPINDLE-10W	40.00	35.4000
MOTEUR ELECTRIQUE 30KW T200L 1500TR 3/6 B3	30KW T200L 1500TR 3/6 B3	1.00	8800.0000
COURROIE THERMO-SOUDABLE GRIFLEX B17 ARME	B17	30.00	85.0000
AXE 35X143 TOURNE/25X110 et 28X30 AVEC 2 CLAVETAGE  et 2 CLAVETTE 8 mm et FILETAGE M8	35X143	4.00	210.0000
AXE 25X210-2 COTES D20-D19 CLV=6X70-6X25	25X210	4.00	240.0000
HUILE 15W-40 5L	15W-40	5.00	210.0000
ACCOUPLEMENT ALESE 2 COTES/D28 et CLAVETAGE 8mm et 2 FILETAGE M8	D28	4.00	190.0000
CONTACTEUR LC1 D65-110V	LC1 D65-110V	1.00	1200.0000
POULIE 1B-125	1B-125	4.00	175.0000
TUBE ANNELE DIP ROUGE D160/D110	D160/D110	10.00	23.0000
PRESSE ETOUPE-PLASTIC D9	D9	10.00	2.0000
FUSIBLE CARTOUCHE 10X38-4A	10X38-4A	10.00	3.0000
CONTACT-AUXILIAIRE GVAN11	GVAN11	4.00	85.0000
BOULON TH INOX 4X16	4X16	50.00	0.6000
RACLOIR 420X160X60	420X160X60	20.00	1200.0000
COURROIE B-98	B-98	4.00	155.0000
ECROU D8	D8	100.00	0.6000
BOITE ETANCHE RONDE 70X40	70X40	2.00	8.0000
PAQUET CHEVILLE PLASTIC D8	D8	1.00	12.0000
SUPPORT SONDE EN TEFLON CONF 30X60XFILTAGE =20	30X60XFILTAGE =20	10.00	130.0000
CUTEUR IRWIN 18MM	18MM	1.00	60.0000
PISTON TEFLON 35X50-DIAM 19-TROU 8	35X50	8.00	120.0000
PIGNON ALESE D35-CLV=10-21D	D35-CLV=10-21D	1.00	140.0000
PIGNON ALESE D24-CLV=8MM	D24-CLV=8MM	1.00	140.0000
CABLE DE SOUDURE D=35	D=35	10.00	90.0000
COSSE TERMINALE EMBOUT 6	EMBOUT 6	100.00	0.2500
AXE TAMBOUR CYLINDRIQUE 25X800	25X800	1.00	560.0000
DOUILLE CONNECTEUR 10X25	10X25	2.00	35.0000
CONNECTEUR POSTE SOUDAGE M 10-25	10-25	2.00	30.0000
COSSE FOURCHETTE 2,5	2,5	100.00	0.3200
COSSE FOURCHETTE 1,5	1,5	100.00	0.3000
COUDE MF 1"1/2	1"1/2	2.00	60.0000
COSSE ISOLE ROND 1,5mm²	1,5mm²	100.00	0.3000
CHEMISE PISTON TEFLON 35X45 AVEC GORGE-FILT 16	35X45	8.00	160.0000
COSSE TERMINALE EMBOUT 2,5	EMBOUT 2,5	200.00	0.1800
GRAISSE MULTITEK 2 EN KG	MULTITEK 2 EN KG	36.00	43.8900
CONTACTEUR LC1 D09-220V	LC1 D09-220V	2.00	245.0000
TUBE ANNELE DIP ROUGE D160/D110	D160/D110	18.00	23.0000
COSSE TERMINALE EMBOUT 1,5	EMBOUT 1,5	300.00	0.1600
HUILE 15W-40 5L	15W-40	4.00	210.0000
HUILE VP SAE-90	VP SAE-90	40.00	33.0000
TUYEAU SAE-100R10 05217206	05217206	1.00	4369.3100
ELEMENT LOGIQUE MOL14002801	MOL14002801	1.00	6836.5000
ELEMENT LOGIQUE MOL14001800	MOL14001800	1.00	5805.0300
ENTRETOISE PH68403006	PH68403006	2.00	1817.4200
ELEMENT LOGIQUE MOL13204800	MOL13204800	1.00	6928.4600
GARNITURE 05008147	05008147	2.00	5.6100
CORDE TAV.0718.003 05650011	05650011	2.86	33.3300
ELEMENT 05552838	05552838	1.00	3360.6100
ELECTROVANNE 05576009	05576009	1.00	1537.9100
VALVE 05583145	05583145	1.00	2485.6700
ELEMENT LOGIQUE MOL14001801	MOL14001801	1.00	5989.5000
ELECTROVANNE  05576053	05576053	1.00	3811.7200
DOUILLE PE50002021	PE50002021	4.00	7424.1200
GARNITURE 05043065	05043065	2.00	2.7500
ELECTROVANNE 05552605	05552605	1.00	44953.9200
ELECTROVANNE  05576058	05576058	1.00	742.1700
GARNITURE 05015006	05015006	3.00	0.1100
ELECTROVANNE 05583136	05583136	1.00	2805.2200
ELECTROVANNE  05576061	05576061	1.00	1357.0700
VANNE BY PASS VB015-100	VB015-100	1.00	7399.8100
HUILE SPINDLE-10W	SPINDLE-10W	60.00	35.4000
ROULEMENT 6205	6205	10.00	40.0000
ROULEAU CERAMIQUE SIB-C10-417-33,7X23,7X3100	SIB-C10-417-33,7X23,7X3100	200.00	180.6200
ROULEAU 01.02.030A (grise)	01.02.030A (grise)	16.00	1271.9300
ROULEAU 01.02.030.GB (orange)	01.02.030.GB (orange)	1.00	1558.1500
ROULEAU 01.02.030.G (orange)	01.02.030.G (orange)	10.00	636.0200
ALIMENTATION 6EP1333-3BA10  BL60008208	BL60008208	1.00	1828.7500
TUYAU 05211046	05211046	1.00	3498.7700
ECRAN 6ED1055-4MH08-0BA1  SIB-C49-323	SIB-C49-323	1.00	1871.3200
ARBRE MOUVEMENT 029562	029562	1.00	2066.9000
RACLEUR CAS17505018	17505018	10.00	980.1000
RONDELLE CAS92201015	CAS92201015	4.00	309.5400
GARNITURE 05015012	05015012	2.00	20.1300
GARNITURE 05008152	05008152	2.00	6.0500
ELECTROVANNE 05580164	05580164	1.00	18168.1500
GARNITURE 05008090	05008090	5.00	4.4000
GARNITURE 05008146	05008146	6.00	5.2800
ELEMENT LOGIQUE MOL13201800.	MOL13201800.	1.00	4985.2000
ELEMENT LOGIQUE MOL13203800	MOL13203800	1.00	6534.0000
ARBRE DCL17504017	DCL17504017	2.00	3249.6200
ELECTROVANNE ARRET CCT+0010006	CCT+0010006	3.00	6077.5000
TUYEAU 05200497	05200497	1.00	1048.4100
TUYEAU 05211469	05211469	1.00	4291.4300
BOUCHON 05136076	05136076	4.00	82.7200
ELEMENT LOGIQUE  05552865	05552865	1.00	1083.3900
TUYEAU 05214622	05214622	1.00	1078.2200
TUYAU 05217129	05217129	1.00	3196.7100
TUYAU 05213015-L=1500 mm	05213015	2.00	228.6900
POMPE BOSCH/REXROTH s/n°.35858358 05603599	05603599	1.00	79695.0000
TUYEAU 05217207	05217207	1.00	6845.0800
PLAQUE CAL92204033	CAL92204033	2.00	748.0000
POCHE 20LT 05220202	05220202	2.00	1963.0600
HUILE MEGA-40  5LT	MEGA-40  5LT	4.00	178.0000
MANOMETRE Ø100 0-400 1/2" 05734029	05734029	2.00	1136.9600
TUYAU FLEXIBLE 05200472	05200472	1.00	860.0900
MODULE 6ED1052-2MD08-0BA1  SIB-C49-324	SIB-C49-324	1.00	1326.9300
PISTON DE DESAERATION PILOTE PH49409902	PH49409902	1.00	9699.3600
FLEXIBLE 05207930	05207930	1.00	3443.6600
PIECE INTERCAL.BAGUE TRAVERSE L.90 PE50002018A	PE50002018A	2.00	59.9500
PIECE RAPORTEE 62.03.015	62.03.015	50.00	4.5100
TRANSDUCTEUR PRESSION PH49481999	PH49481999	1.00	2601.5000
GARNITURE 05008140	05008140	5.00	5.2800
SOUPAPE 05580263	05580263	1.00	2230.4700
GARNITURE 05008017	05008017	4.00	2.2000
PLAQUE CAL92204012	CAL92204012	2.00	740.9600
TUYEAU 05213020-L=2000 mm	05213020	2.00	328.2400
SOUPAPE 05553013	05553013	1.00	1664.0800
ELEMENT LOGIQUE MOL14002800	MOL14002800	1.00	6768.7400
GARNITURE 05008012	05008012	50.00	10.0000
TUYEAU 05202537	05202537	1.00	1108.1400
TUYEAU 05192505	05192505	1.00	203.1700
MANOMETRE A GLYCERINE 05738002	05738002	2.00	210.4300
ELECTROVANNE 05580899	05580899	1.00	606.4300
ROULEAU CERAMIQUE 54697-33,7X23,7X3100	54697	252.00	219.4500
CONNECTEUR POUR BOBINE 2000	2000	1.00	50.0000
PISTOLET A COLLE 40W	40W	1.00	150.0000
ELECTROVANNE V2/2-G3/4" B206 DBX	V2/2-G3/4" B206 DBX	1.00	1060.0000
JONCTIONS ENTRE RAILS C	C	3.00	75.0000
POINT FIXE	PF	1.00	65.0000
CONTACTEUR LC1 D09-220V	LC1 D09-220V	2.00	245.0000
POULIE VARIATRICE 1DV 138 F.GUI-CHROMEE AXE 30  10558	10558	2.00	242.0000
CHARIOT ENTRAINEUR	CE	1.00	130.0000
CHARIOT PORTE CABLE	CPC	7.00	120.0000
COLLE PVC QUILOSA-125ML	QUILOSA-125ML	1.00	20.0000
JOINT UNIVERSEL DE PRECISION ROTAR 30X58X122  111A 112277	112277	5.00	679.8000
BAGUETTE COLLE BATTANT	C.B	10.00	5.0000
RAIL C GALVANISEE(BARRE de 4m)	4m	4.00	220.0000
ELECTRODE ALLUMINIUM D8X75 D1,65X10 L625D4 BRULEUR C14-109041	109041	5.00	216.7000
POULIE VARIATRICE 1DV 152 F.GUI-CHROMEE AXE 30  10559	10559	2.00	308.0000
ELECTRO-POMPE LEO ACM--220B3-3 HP DIAM 3"	3 HP DIAM 3"	1.00	3100.0000
SONDE IONISATION POUR BRULEUR C14-109042	109042	5.00	190.3000
PROFIL PINCE VERT TYPE "P" 40X3MM-39337	39337	100.00	23.6500
BOBINE SERIE 2700  220 VAC	2700  220 VAC	1.00	220.0000
CABLE PLAT 4X2,5 mm²	4X2,5	18.00	42.0000
BLOC BRULEUR CARBURE SILICIUM*365MM BR 1037  82914	82914	4.00	825.0000
CABLE ELECTRIQUE SOUPLE 4X1,5mm²	4X1,5mm²	100.00	13.0000
GANT CUIR M/C	M/C	80.00	12.5000
COLLIER COLSONG 7,6X300	7,6X300	100.00	0.5000
MOTEUR ELECTRIQUE 0,06KW 230V D.12,7 POUR BRULEUR C10/C14-84344	84344	2.00	1738.0000
SUPPORTS DE RAILS	SR	7.00	45.0000
TUBE PVC D16	D16	9.00	8.5000
PIGNON DOUBLE 21D 5/8	21D 5/8	2.00	150.0000
ACCOUPLEMENT C90 ACE	C90	4.00	104.6300
ACCOUPLEMENT SGAA038 ACE	SGAA038	1.00	423.6300
BANDE TRANSPORTEUSE-BLANCHE PVC-3PLIS LONG=29MTS LARG=400MM	PVC-3PLIS LONG=29MTS LARG=400MM	1.00	2900.0000
REDUCTEUR A VIS SANS FIN NMRV63 E=19 S=25 1/40	NMRV63 E=19 S=25 1/40	4.00	1200.0000
PIECE CLE CLARCK  52X215	52X215	3.00	640.0000
ATTACHE LAME RESSORT NOIR A TETE PLAT	T.P	200.00	4.3000
ARRET HUILE 24X35X7	24X35X7	3.00	6.0000
COURROIE B-136	B-136	4.00	180.0000
PRISE ETANCHE FEMELLE 2P+T-220V	2P+T-220V	4.00	24.0000
HUILE TITAN RENOLIT B32 FUCHS	TITAN RENOLIT B32 FUCHS	40.00	35.0000
CORDE TRAÇAGE MAÇON 1,2 mm	1,2 mm	1.00	16.0000
ROULEMENT 6204	6204	6.00	50.0000
FIL ATTACHE GP NOIR 8	GP NOIR 8	5.00	16.0000
TIGE FILETE FABRIQUE D24X100	D24X100	60.00	25.0000
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	25.00	320.0000
CHAPES A PICOTS PP 16M/M	PP 16M/M	7500.00	0.1200
SCOTCH TRANSPARENT 50mmX100M	50mmX100M	900.00	9.8000
MESURE CENTIGRAFFE 5MTS-19mm	5MTS-19mm	3.00	50.0000
MOTEUR ELECTRIQUE 0,75KW-T80-1500TR 2/3V B3/B5	0,75KW-T80-1500TR 2/3V B3/B5	4.00	900.0000
ELECTRO-POMPE CENTRIFUGE LEO 2HP 220V DIAM 2"	2HP 220V DIAM 2"	1.00	1700.0000
VENTILATEUR 120X120-220V	120X120-220V	2.00	60.0000
FLEXIBLE COMPLET R2 1/4	R2 1/4	2.00	115.0000
TUYEAU MEGASPIR D50	D50	5.00	60.0000
COLLIER SERRAGE 56X59-RENF	56X59-RENF	1.00	20.0000
CONTACTEUR LC1 D32-110V	LC1 D32-110V	3.00	650.0000
CONTACTEUR LC1 D32-220V	LC1 D32-220V	1.00	650.0000
MANOMETRE D 63 0-10 BAR-R/V-1/4"	D 63 0-10 BAR-R/V-1/4"	1.00	125.0000
DISQUE A TRONCONNER 230X1,9X22,23	230X1,9X22,23	25.00	15.0000
RONDELLE PLATE D6	D6	50.00	0.1500
RONDELLE PLATE D5	D5	100.00	0.1200
GANT GRIS	G170 B-9	1.00	25.0000
PRISE FEMELLE 3P+T-16A-380V	3P+T-16A-380V	4.00	40.0000
SPRAY NETTOYANT ELECTRIQUE F32	F32	1.00	82.0000
DISQUE A TRONCONNER 125X1,6X22,23	125X1,6X22,23	25.00	8.0000
HUILE SPINDLE-10W	SPINDLE-10W	20.00	35.4000
VIS TC 6X16	6X16	50.00	1.0000
HUILE MEGA-40  5LT	MEGA-40  5LT	5.00	178.0000
ARRET HUILE 32X52X7	32X52X7	2.00	10.0000
COLLE FLAMBO 500gr	500gr	2.00	32.0000
LUNETTE POLY CARBONATE CLAIR 10110-SPACER ONE	10110-SPACER ONE	1.00	16.0000
RONDELLE PLATE D10	D10	1600.00	0.2000
BOULON TH 10X30	10X30	1600.00	1.2000
MANOMETRE D 63 0-10 BAR-R/V-1/4"	D 63 0-10 BAR-R/V-1/4"	1.00	125.0000
ECROU D24	D24	120.00	4.2000
BOULON TH 14X100	14X100	100.00	2.9000
DILUANT CELLULOSIQUE WARDA 5LTS	5LTS	2.00	110.0000
RONDELLE PLATE D14	D14	100.00	0.7000
ROULEAU PEINTURE A MANCHE 10CM	10CM	1.00	12.0000
GOUDRON 5KG	5KG	2.00	70.0000
ARRET HUILE 24X35X7	24X35X7	1.00	6.0000
PORTE ROULEAU COURT UNIVERSEL 10CM	10CM	1.00	8.0000
IMPRIMATION GRISE SODECSO-5KG	SODECSO-5KG	2.00	105.0000
POULIE ALESEE D19 CLV=6MM	D19 CLV=6MM	2.00	190.0000
BAC A BEC BLEU C1001	C1001	30.00	6.0000
TOLE POLYESTER L=1 MTS	L=1 MTS	65.00	125.0000
GRAISSE MULTITEK 2 EN KG	MULTITEK 2 EN KG	18.00	43.8900
ESCABEAU EN ALLUMINIUM DOMESTICA -6 MARCHES	6 MARCHES	1.00	550.0000
PEINTURE VERTE 5KG	5KG	2.00	165.0000
COURROIE C-112	C-112	4.00	178.0000
CULLOTTE PVC D 100	D 100	2.00	15.0000
ECROU D5	D5	100.00	0.2000
COURROIE C-112	C-112	4.00	240.0000
MANCHON H.210	H.210	1.00	45.0000
VIS TF 6X20	6X20	60.00	0.7000
PROJECTEUR LED 150W6500K	150W6500K	1.00	370.0000
FICHE INDUSTRIELLE MALE 2P+T-16A-220V	2P+T-16A-220V	5.00	9.0000
COSSE TERMINALE EMBOUT 1,5	EMBOUT 1,5	200.00	0.1600
COSSE TERMINALE EMBOUT 0,75	EMBOUT 0,75	100.00	0.1000
MANCHON H.210	H.210	1.00	45.0000
ANTIGEL RADIATEUR 25L	25L	25.00	10.0000
RONDELLE GROVER D20	D20	6.00	1.8000
PRESSE ETOUPE-PLASTIC D13,5	D13,5	10.00	2.0000
VIS TC 20X60	20X60	6.00	12.0000
GANT CUIR M/C	M/C	80.00	12.5000
CADENA LAITON 30MM	30MM	2.00	30.0000
BATTERIE POWER M14	M14	2.00	1700.0000
COSSE ISOLE ROND 1,5mm²	1,5mm²	100.00	0.3000
FIL ATTACHE GP NOIR 8	GP NOIR 8	5.00	16.0000
PRESSE ETOUPE-PLASTIC D13,5	D13,5	10.00	2.0000
PRISE ETANCHE FEMELLE 2P+T-220V	2P+T-220V	1.00	24.0000
CALE LATERAL 50X700	50X700	1.00	970.0000
VIS TC 20X60	20X60	6.00	8.3400
BROSSE PEINTURE PLATE 18MM	18MM	3.00	13.0000
COURROIE B-94	B-94	2.00	140.0000
COURROIE B-90	B-90	3.00	135.0000
CONTACTEUR LC1 D95-110V	LC1 D95-110V	1.00	1950.0000
GANT SIMPLE 9/L	9/L	10.00	12.0000
